,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,10045740-MP3-128K-FTD,seqRecur,0.6319444444444444,0.3336666666666666,0.43673647469458987,0.6319444444444444,0.3336666666666666,0.43673647469458987,0.3333333333333333,0.5,0.4
1,10045743-MP3-128K-FTD,seqRecur,0.8827959952236611,0.7813821138211383,0.8289990080648638,0.8827959952236611,0.7813821138211383,0.8289990080648638,0.3333333333333333,0.5,0.4
2,10045754-MP3-128K-FTD,seqRecur,0.656127628716461,0.7296774193548388,0.6909507445589919,0.656127628716461,0.7296774193548388,0.6909507445589919,0.0,0.0,0.0
3,10045765-MP3-128K-FTD,seqRecur,0.8979847652106836,0.8466363636363636,0.8715549108605118,0.8979847652106836,0.8466363636363636,0.8715549108605118,0.0,0.0,0.0
4,10045775-MP3-128K-FTD,seqRecur,1.0,0.8626845637583894,0.926280896447359,1.0,0.8626845637583894,0.926280896447359,0.0,0.0,0.0
5,10045785-MP3-128K-FTD,seqRecur,0.647459364475033,0.9825555555555556,0.7805631565010152,0.647459364475033,0.9825555555555556,0.7805631565010152,0.5,1.0,0.6666666666666666
6,10056604-MP3-128K-FTD,seqRecur,0.7001097350681923,0.5193023255813954,0.5963014887509179,0.7001097350681923,0.5193023255813954,0.5963014887509179,0.0,0.0,0.0
7,10157971-MP3-128K-FTD,seqRecur,0.10904392764857881,0.11105263157894733,0.11003911342894392,0.10904392764857881,0.11105263157894733,0.11003911342894392,0.0,0.0,0.0
8,10207517-MP3-128K-FTD,seqRecur,0.6309188275084553,0.8140000000000002,0.7108605906637027,0.6309188275084553,0.8140000000000002,0.7108605906637027,0.0,0.0,0.0
9,10223395-MP3-128K-FTD,seqRecur,0.5205819143660109,0.4563768115942026,0.48636960383041145,0.5205819143660109,0.4563768115942026,0.48636960383041145,0.0,0.0,0.0
10,10289821-MP3-128K-FTD,seqRecur,0.9277432712215322,0.9433684210526315,0.9354906054279749,0.9277432712215322,0.9433684210526315,0.9354906054279749,0.5,0.5,0.5
11,10291224-MP3-128K-FTD,seqRecur,0.5016543921443057,1.0,0.6681356173146635,0.5016543921443057,1.0,0.6681356173146635,0.0,0.0,0.0
12,10474393-MP3-128K-FTD,seqRecur,0.7537820015515903,0.9596296296296297,0.844340647403867,0.7537820015515903,0.9596296296296297,0.844340647403867,0.6666666666666666,1.0,0.8
13,10483222-MP3-128K-FTD,seqRecur,0.6229372937293729,0.8663934426229508,0.7247668678003291,0.6229372937293729,0.8663934426229508,0.7247668678003291,0.3333333333333333,0.5,0.4
