,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,01 永遠のレプリカ,seqRecur,0.9094149094149098,0.9567255116388066,0.9324704986676821,0.9094149094149098,0.9567255116388066,0.9324704986676821,1.0,1.0,1.0
1,02 Magic in your eyes,seqRecur,0.7539999999999992,0.5236111111111109,0.6180327868852455,0.7539999999999992,0.5236111111111109,0.6180327868852455,0.0,0.0,0.0
2,03 HORO,seqRecur,0.9226964224088346,0.6653118779031186,0.7731456937683743,0.9226964224088346,0.6653118779031186,0.7731456937683743,0.42857142857142855,1.0,0.6
3,04 Spice of Life,seqRecur,0.6974622184203022,0.5476936856247202,0.6135708014549104,0.6974622184203022,0.5476936856247202,0.6135708014549104,0.0,0.0,0.0
4,05 恋のVer.2.4,seqRecur,0.9268569268569268,0.8898566503356923,0.9079800037030179,0.7440937440937443,0.7143894030121577,0.7289390853545642,0.5,0.75,0.6
5,06 Funky Life,seqRecur,0.9808269423141048,0.9192187500000002,0.9490240361348605,0.9808269423141048,0.9192187500000002,0.9490240361348605,1.0,1.0,1.0
6,07 PROLOGUE,seqRecur,0.9228504122497057,0.9755135920315414,0.9484515282961766,0.9228504122497057,0.9755135920315414,0.9484515282961766,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,08 人生こんなもの,seqRecur,0.9243338085316372,0.9195941523019856,0.9219578889800383,0.9243338085316372,0.9195941523019856,0.9219578889800383,1.0,1.0,1.0
8,09 慟哭,seqRecur,0.8973368058472652,0.973655423883318,0.9339395794167794,0.8973368058472652,0.973655423883318,0.9339395794167794,1.0,1.0,1.0
9,10 Getting Over,seqRecur,0.8943407585791682,0.9310560952679405,0.9123291877782889,0.8943407585791682,0.9310560952679405,0.9123291877782889,1.0,1.0,1.0
10,11 言えない,seqRecur,0.8336021250355755,0.998636208660075,0.9086866597724923,0.8336021250355755,0.998636208660075,0.9086866597724923,1.0,1.0,1.0
11,12 KAGE-ROU,seqRecur,0.9371570189414054,0.66117147495941,0.7753368482718215,0.9371570189414054,0.66117147495941,0.7753368482718215,0.25,0.5,0.3333333333333333
12,13 キャッチボール,seqRecur,0.9131007241606321,0.9107879924953094,0.9119428920302447,0.9131007241606321,0.9107879924953094,0.9119428920302447,0.5,0.6666666666666666,0.5714285714285715
13,14 枯れ葉色のTwilight,seqRecur,0.8586250000000001,0.7691187996864852,0.8114110212037092,0.8586250000000001,0.7691187996864852,0.8114110212037092,0.0,0.0,0.0
14,15 old fashioned,seqRecur,1.0,0.8996103598441441,0.9471525096525097,1.0,0.8996103598441441,0.9471525096525097,1.0,1.0,1.0
15,16 Game of Love,seqRecur,0.4862554862554864,0.898996369848388,0.6311370961697027,0.4862554862554864,0.898996369848388,0.6311370961697027,1.0,1.0,1.0
16,01 あなたと逢えて,seqRecur,0.7429325292122126,0.7526731160896133,0.7477711033828645,0.7429325292122126,0.7526731160896133,0.7477711033828645,1.0,1.0,1.0
17,02 True Heart,seqRecur,0.8449777433713952,0.8490034030140982,0.846985789805519,0.8449777433713952,0.8490034030140982,0.846985789805519,0.2857142857142857,1.0,0.4444444444444445
18,03 COOL Motion,seqRecur,0.6516676879978989,0.8398961976757308,0.7339051562654046,0.6516676879978989,0.8398961976757308,0.7339051562654046,0.8,1.0,0.888888888888889
19,04 ときめきの瞬間,seqRecur,0.7009075576258934,1.0,0.8241571442062517,0.7009075576258934,1.0,0.8241571442062517,0.0,0.0,0.0
20,05 Feeling In My Heart,seqRecur,0.9859011223448658,0.9042109740535941,0.9432907348242809,0.9859011223448658,0.9042109740535941,0.9432907348242809,1.0,1.0,1.0
21,06 恋におちる時間に関する考察,seqRecur,0.9168223135350516,0.7813859704977182,0.8437034490661164,0.9168223135350516,0.7813859704977182,0.8437034490661164,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,07 SHAKE,seqRecur,0.9066915075298865,0.988155668358714,0.9456724151890534,0.9066915075298865,0.988155668358714,0.9456724151890534,1.0,1.0,1.0
23,08 it's all right,seqRecur,0.9658899020601147,0.6743692525347794,0.7942238267148013,0.9658899020601147,0.6743692525347794,0.7942238267148013,0.2,0.25,0.22222222222222224
24,09 tell me,seqRecur,0.7778821074595721,0.7998283630122291,0.7887025969217749,0.7778821074595721,1.0,0.8750660172525085,0.3333333333333333,0.25,0.28571428571428575
25,10 青空散歩道,seqRecur,1.0,0.7932949403537637,0.8847344878999884,1.0,0.7932949403537637,0.8847344878999884,1.0,1.0,1.0
26,11 stay,seqRecur,0.8827249728948322,0.9615195354787915,0.9204390220924209,0.8827249728948322,0.9615195354787915,0.9204390220924209,0.0,0.0,0.0
