,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,01 永遠のレプリカ,seqRecur,0.8423253868674193,0.9439150132791747,0.8902313245911299,0.8423253868674193,0.9439150132791747,0.8902313245911299,1.0,1.0,1.0
1,02 Magic in your eyes,seqRecur,0.7782392026578074,0.9760416666666667,0.865988909426987,0.7782392026578074,0.9760416666666667,0.865988909426987,0.0,0.0,0.0
2,03 HORO,seqRecur,1.0,0.472627737226277,0.6418835192069389,1.0,0.5574251614165521,0.7158291457286429,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,04 Spice of Life,seqRecur,0.5070390554041778,1.0,0.6728943799909596,0.5070390554041778,1.0,0.6728943799909596,0.0,0.0,0.0
4,05 恋のVer.2.4,seqRecur,0.9441704661766077,0.9206133188169117,0.932243097983371,0.8366055643435379,0.9113115751064261,0.8723621015863776,0.6666666666666666,0.5,0.5714285714285715
5,06 Funky Life,seqRecur,0.9838901136170931,0.9065625000000002,0.9436447914125395,0.9838901136170931,0.9065625000000002,0.9436447914125395,1.0,1.0,1.0
6,07 PROLOGUE,seqRecur,0.9412528724148266,0.9774849553849346,0.959026823433603,0.9412528724148266,0.9774849553849346,0.959026823433603,1.0,1.0,1.0
7,08 人生こんなもの,seqRecur,1.0,0.9177394719615973,0.9571054727500284,1.0,0.9177394719615973,0.9571054727500284,1.0,1.0,1.0
8,09 慟哭,seqRecur,0.9672016748080949,0.884412032816773,0.9239560020951384,0.9672016748080949,0.884412032816773,0.9239560020951384,0.5,0.6666666666666666,0.5714285714285715
9,10 Getting Over,seqRecur,0.8649237472766884,0.7464744594171104,0.8013456686291,0.8649237472766884,0.7464744594171104,0.8013456686291,0.0,0.0,0.0
10,11 言えない,seqRecur,0.944303491603238,0.8882827594044777,0.9154368704614665,0.944303491603238,0.8882827594044777,0.9154368704614665,1.0,1.0,1.0
11,12 KAGE-ROU,seqRecur,1.0,0.7257399775196703,0.8410768562744246,1.0,0.7257399775196703,0.8410768562744246,1.0,1.0,1.0
12,13 キャッチボール,seqRecur,0.9802803738317757,0.9839587242026263,0.9821161048689137,0.9802803738317757,0.9839587242026263,0.9821161048689137,0.75,1.0,0.8571428571428571
13,14 枯れ葉色のTwilight,seqRecur,0.9045017222948092,0.8526480797223156,0.8778097982708933,0.9045017222948092,0.8526480797223156,0.8778097982708933,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,15 old fashioned,seqRecur,0.5675640355462624,0.9954159981663995,0.722929671244278,0.5675640355462624,0.9954159981663995,0.722929671244278,0.0,0.0,0.0
