,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,08 Woman Like You,seqRecur,0.8608866820141068,0.7247931528449828,0.7869996941150592,0.8608866820141068,0.7247931528449828,0.7869996941150592,0.0,0.0,0.0
1,05 レプリカ,seqRecur,0.9285422310371515,0.8347247804791341,0.8791376517633366,0.9285422310371515,0.8347247804791341,0.8791376517633366,0.0,0.0,0.0
2,06 Angel Baby,seqRecur,0.9567907072368426,0.8794085411942557,0.9164690823158727,0.9567907072368426,0.8794085411942557,0.9164690823158727,0.0,0.0,0.0
3,15 出会えたから,seqRecur,0.7694196428571427,1.0,0.869685883688659,0.7694196428571427,1.0,0.869685883688659,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,11 遠い街へ,seqRecur,0.9556121826171875,0.8715916808621981,0.9116701700856544,0.9556121826171875,0.8715916808621981,0.9116701700856544,0.5,1.0,0.6666666666666666
5,13 キャッチボール,seqRecur,0.8717563733552631,0.9019716829821358,0.8866066705279423,0.8717563733552631,0.9019716829821358,0.8866066705279423,0.5,0.6666666666666666,0.5714285714285715
6,05 恋のVer.2.4,seqRecur,0.8820602292936991,0.9142486003050587,0.8978660202841116,0.7935925987677845,0.9189311375607747,0.851675143620408,0.3333333333333333,0.25,0.28571428571428575
7,06 見上げた空は,seqRecur,0.7401575872017633,0.9974542014277114,0.8497563148501689,0.45155905569242716,0.9958339197748065,0.6213624524394823,0.6666666666666666,0.5,0.5714285714285715
8,09 Non Stop Driving,seqRecur,0.7694720024843097,0.8896329365079363,0.8252011323003576,0.7694720024843097,0.8896329365079363,0.8252011323003576,1.0,1.0,1.0
9,07 月のように,seqRecur,0.9149934895833332,0.8597586269895001,0.8865165326046974,0.9149934895833332,0.8597586269895001,0.8865165326046974,0.5,0.5,0.5
10,07 PROLOGUE,seqRecur,0.9583041642609704,0.999690849570789,0.9785601059754192,0.9583041642609704,0.999690849570789,0.9785601059754192,1.0,1.0,1.0
11,05 Feel,seqRecur,0.9461289247630335,0.8799305092829338,0.9118298025704824,0.9461289247630335,0.8799305092829338,0.9118298025704824,1.0,1.0,1.0
12,12 誓い,seqRecur,0.9069217566287879,0.7112235266978897,0.7972387854599725,0.5985907907196969,0.4694251186641203,0.5261973169050641,0.0,0.0,0.0
13,07 First Love,seqRecur,1.0,0.7666693224345148,0.8679262301085583,1.0,0.7666693224345148,0.8679262301085583,1.0,1.0,1.0
14,15 Moving Round and Round,seqRecur,0.877508755387931,0.7938589676802202,0.8335905798202528,0.877508755387931,0.7938589676802202,0.8335905798202528,0.3333333333333333,0.5,0.4
15,04 ときめきの瞬間,seqRecur,1.0,0.7077469848181435,0.8288663263469451,1.0,0.7077469848181435,0.8288663263469451,0.0,0.0,0.0
16,01 How Deep Is Your Love-,seqRecur,0.7908271416083913,0.6938577782810837,0.7391757754522449,0.7908271416083913,0.6938577782810837,0.7391757754522449,0.2,0.3333333333333333,0.25
17,13 愛してる,seqRecur,0.9395383652964547,0.9197773051425843,0.9295528236002949,0.9395383652964547,0.9197773051425843,0.9295528236002949,0.75,1.0,0.8571428571428571
18,02 ミセスマリル,seqRecur,0.8168928239729023,0.9200999486180724,0.8654302507462776,0.5949351917613638,0.8934665981574299,0.7142624061694595,0.6666666666666666,0.5,0.5714285714285715
19,04 Life,seqRecur,0.9599683310331231,0.9370194260792322,0.9483550657893034,0.9599683310331231,0.9370194260792322,0.9483550657893034,1.0,1.0,1.0
20,10 Don't Say Good bye,seqRecur,0.830726185993976,0.8424659136088309,0.8365548646904698,0.830726185993976,0.8424659136088309,0.8365548646904698,0.0,0.0,0.0
21,15 Together,seqRecur,0.9282323500689339,0.9565272565762041,0.9421674150340487,0.9282323500689339,0.9565272565762041,0.9421674150340487,1.0,1.0,1.0
22,06 1999,seqRecur,0.9137246621621625,0.934450002598004,0.9239711259023158,0.9137246621621625,0.934450002598004,0.9239711259023158,0.6666666666666666,0.6666666666666666,0.6666666666666666
23,06 Weekend,seqRecur,1.0,0.8126984126984127,0.8966725043782837,1.0,0.8126984126984127,0.8966725043782837,0.3333333333333333,0.3333333333333333,0.3333333333333333
24,11 天使のうたたね,seqRecur,0.9526485770089287,0.8045543915769379,0.8723609167117121,0.9526485770089287,0.8045543915769379,0.8723609167117121,1.0,1.0,1.0
25,01 Change Of Heart,seqRecur,0.8510559325199202,0.8402730000464805,0.8456300934209829,0.8510559325199202,0.8402730000464805,0.8456300934209829,0.25,0.3333333333333333,0.28571428571428575
26,09 Miss Maria,seqRecur,0.7267393369932436,0.794161300575517,0.7589559012461787,0.521501266891892,0.8550414567862769,0.6478624968030902,0.0,0.0,0.0
27,16 Game of Love,seqRecur,1.0,0.24295916672598286,0.39093668276480803,1.0,0.3644387500889741,0.5341958370285355,0.0,0.0,0.0
28,16 So Long,seqRecur,1.0,0.7085063085063088,0.8293868216684932,1.0,0.7085063085063088,0.8293868216684932,0.0,0.0,0.0
29,02 True Heart,seqRecur,0.9690070021124707,0.9385151305701344,0.9535173590169617,0.9690070021124707,0.9385151305701344,0.9535173590169617,0.5,0.5,0.5
30,08 人生こんなもの,seqRecur,1.0,0.7574477896475341,0.8619861074785551,1.0,0.7574477896475341,0.8619861074785551,0.5,1.0,0.6666666666666666
31,16 小動物,seqRecur,0.9195788442012635,0.8941291608606154,0.9066754494285846,0.9195788442012635,0.8941291608606154,0.9066754494285846,1.0,1.0,1.0
32,11 言えない,seqRecur,0.8840417631172844,0.9448347433832799,0.9134278552172588,0.8840417631172844,0.9448347433832799,0.9134278552172588,1.0,1.0,1.0
33,02 Once in a life time,seqRecur,0.7914670178489963,0.9053442904190324,0.8445843591129354,0.6963863623403285,0.7965833102988289,0.7431226017865585,0.6666666666666666,0.6666666666666666,0.6666666666666666
34,09 Once and For All,seqRecur,0.9928778361636972,0.9545837024100181,0.9733542687370653,0.9928778361636972,0.9545837024100181,0.9733542687370653,1.0,1.0,1.0
35,10 Getting Over,seqRecur,0.8814641462053571,0.8979812127504297,0.8896460225898689,0.8814641462053571,0.8979812127504297,0.8896460225898689,1.0,1.0,1.0
36,14 Be with me Now,seqRecur,0.9322867738688653,0.8213612726282321,0.8733157745865484,0.9322867738688653,0.8213612726282321,0.8733157745865484,0.5,0.6666666666666666,0.5714285714285715
37,14 雲,seqRecur,0.8323034017437306,0.7863531977416817,0.8086760856632957,0.8323034017437306,0.7863531977416817,0.8086760856632957,0.0,0.0,0.0
38,08 I've got a mail,seqRecur,0.9285819892473117,0.8641750327666552,0.8952215622425488,0.9285819892473117,0.8641750327666552,0.8952215622425488,0.6,1.0,0.7499999999999999
39,04 Spice of Life,seqRecur,0.7291736949573856,0.6672465074998499,0.6968369556168412,0.7291736949573856,0.6672465074998499,0.6968369556168412,0.2857142857142857,1.0,0.4444444444444445
