,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,01 永遠のレプリカ,seqRecur,0.8259489103766777,0.8940790501484139,0.8586646661665415,0.8259489103766777,0.8940790501484139,0.8586646661665415,0.75,0.75,0.75
1,02 Magic in your eyes,seqRecur,0.6966618287373004,1.0,0.8212147134302823,0.6966618287373004,1.0,0.8212147134302823,0.0,0.0,0.0
2,03 HORO,seqRecur,0.8248450959649387,0.9054412740544124,0.863266113088177,0.8248450959649387,0.9054412740544124,0.863266113088177,0.3333333333333333,0.6666666666666666,0.4444444444444444
3,04 Spice of Life,seqRecur,0.8589020010261672,0.37483206448723694,0.5219017926734217,0.8589020010261672,0.7496641289744737,0.800573888091822,0.0,0.0,0.0
4,05 恋のVer.2.4,seqRecur,0.7816799111338973,0.8299764108147341,0.8051045104510453,0.6844398872084082,0.7267283614589003,0.704950495049505,0.2857142857142857,0.5,0.36363636363636365
5,06 Funky Life,seqRecur,0.9661948376353039,0.9065625000000002,0.9354292623941959,0.9661948376353039,0.9065625000000002,0.9354292623941959,1.0,1.0,1.0
6,07 PROLOGUE,seqRecur,0.9408768600818934,0.9774849553849346,0.958831611622818,0.9408768600818934,0.9774849553849346,0.958831611622818,1.0,1.0,1.0
7,08 人生こんなもの,seqRecur,1.0,0.8607898756273185,0.925187617260788,1.0,0.8607898756273185,0.925187617260788,0.6,1.0,0.7499999999999999
8,09 慟哭,seqRecur,0.8880013891300571,0.9323609845031905,0.9096406972607611,0.8880013891300571,0.9323609845031905,0.9096406972607611,0.5,0.6666666666666666,0.5714285714285715
9,10 Getting Over,seqRecur,0.8655523255813957,0.7464744594171104,0.8016153457849571,0.8655523255813957,0.7464744594171104,0.8016153457849571,0.0,0.0,0.0
10,11 言えない,seqRecur,0.9893497055506829,0.8973747016706444,0.9411203814064363,0.9893497055506829,0.8973747016706444,0.9411203814064363,1.0,1.0,1.0
